,emotion 1,emotion 2,rating
0g_aiwRKJqM.012,neutral,happy,y7
0g_aiwRKJqM.02,neutral,scared,pg
1lJ6P7DNiqU.01,neutral,neutral,pg14
1WlMxRuVbFY.00,neutral,neutral,pg
1WlMxRuVbFY.02,neutral,neutral,pg
2wUTFaHkWlk.02,angry,happy,pg
30-LwQM9IlY.05,neutral,neutral,g
4uO08Lr5g3k.00,neutral,neutral,g
4Xp4z5qlyqs.00,angry,neutral,pg14
5ixoqCecD6Y.00,neutral,neutral,ma
5ixoqCecD6Y.01,neutral,neutral,ma
7w4TMdCLNMM.00,happy,happy,g
7XkWU0M0M9s.09,neutral,neutral,y7
8AGNsvNFUGw.02,sad,sad,pg
9-r9MIsPhg8.00,angry,neutral,ma
97xL-DNDHEI.01,happy,happy,pg
A0641hHG1IQ.00,neutral,neutral,pg14
aBbzgUTWE6w.00,neutral,neutral,g
as-kuWcHIT0.01,neutral,scared,pg
Auyj3CNF5xk.011,angry,neutral,pg
Auyj3CNF5xk.04,angry,angry,pg
bOcDaRzT-Vc.00,happy,happy,pg
bOcDaRzT-Vc.01,happy,happy,pg
bWxQPzpL2zs.08,neutral,neutral,g
cLnFSqpyQDg.00,angry,angry,pg14
cRU9BT9M9Iw.02,happy,happy,pg
DODLEX4zzLQ.010,neutral,neutral,g
DODLEX4zzLQ.02,happy,scared,g
DODLEX4zzLQ.09,neutral,neutral,g
eF2Vms5WLPc.00,neutral,neutral,pg14
exhHtH3HOvI.02,neutral,neutral,g
eZjgg2lTYpE.01,happy,happy,y
F-Z3qNeZyTU.00,happy,happy,pg
fukx0OR1ao4.01,happy,happy,g
gI1YHfhC9Jo.00,happy,happy,pg
GzusWio36p8.02,neutral,neutral,pg
HJmFmYYZAac.00,neutral,angry,pg14
HJmFmYYZAac.01,angry,angry,pg14
hN1ui3LyFgc.00,neutral,neutral,pg14
hN1ui3LyFgc.02,neutral,neutral,pg14
Ht0IbFNbfSY.02,angry,happy,pg
i8KnemK3YTM.01,scared,scared,pg
JMLuOvRpyts.01,neutral,neutral,pg
KlDvzBBxrao.02,happy,happy,pg14
kLUFit8815c.02,neutral,angry,pg
krcHpMdOVAk.02,neutral,angry,pg14
kwauNQdyl8M.02,angry,angry,pg
Lrj0c3Ta-Tg.00,neutral,neutral,pg14
m0dtn1BNQOA.01,happy,happy,pg14
MlPd6zWjd_0.02,happy,happy,pg
NeUm3vHYOtw.01,neutral,neutral,pg
OI3rOt20QT0.01,neutral,angry,pg14
omMtBWigSC0.00,neutral,neutral,pg
omMtBWigSC0.01,neutral,neutral,pg
OPdbdjctx2I.00,scared,scared,pg
ozVRGho-cZQ.01,scared,scared,pg
pes5F6EJlP0.00,neutral,neutral,pg
pxxPznV38Hk.00,happy,happy,g
pxxPznV38Hk.02,happy,happy,g
Q-bbzURSeIA.01,neutral,neutral,pg
Q-bbzURSeIA.02,neutral,neutral,pg14
qJVhGXSZO9Y.02,neutral,angry,pg14
qpMLHyuQHoQ.01,neutral,neutral,pg
QqivtpiYFDU.00,happy,happy,pg
qr7onP8c8q8.00,neutral,neutral,pg
qTet5MA_pC0.00,neutral,happy,pg14
rEGUDZZmj4M.02,happy,happy,y
rpFqyWChCYw.00,neutral,neutral,pg
s0M6y5sCUVM.01,happy,neutral,ma
sJR5erB8hU4.01,angry,angry,pg
sra_H9o7pjA.00,sad,sad,y7
sx8YbUmXm2M.01,happy,scared,y
tMAwr-m4f3A.02,scared,scared,ma
tOKt3waM0Qg.01,neutral,neutral,pg
tt1220617.00,happy,happy,ma
tt1240982.00,scared,happy,ma
tt1478338.01,happy,happy,ma
tt1959563.02,neutral,neutral,g
tt1980209.03,neutral,neutral,g
tt2278388.01,neutral,neutral,pg
tt2557490.02,happy,happy,pg14
tt2917484.01,scared,scared,ma
tt2937696.00,happy,happy,pg14
tt3491962.01,neutral,neutral,ma
tt4651520.00,neutral,neutral,pg
tt4651520.01,neutral,neutral,pg14
tt4738776.00,neutral,sad,pg14
tt4769836.02,neutral,scared,pg
tt7734218.00,scared,scared,pg14
tt8366502.02,neutral,neutral,g
uN84HhcdIws.01,neutral,neutral,pg14
uN84HhcdIws.02,angry,neutral,pg14
VxlUTNfoBPw.011,neutral,neutral,g
VxlUTNfoBPw.012,neutral,neutral,g
vZMd_PSEuRk.02,neutral,neutral,g
X27R97m0Z8c.00,neutral,scared,pg14
xbEpWP5aWpA.00,angry,angry,y
XfOrJp8bKbE.01,neutral,neutral,pg14
xfsGIrvglO8.01,scared,scared,y7
XyKegi4c7ig.00,happy,neutral,g
XyKegi4c7ig.01,happy,happy,pg
XZVHmRvfDHM.00,neutral,neutral,pg
YLuZjpxmsZQ.00,angry,angry,pg
yoA8KNDyIwU.02,angry,angry,y
YYlPKnlpJ2U.03,angry,angry,ma
zNjO6arjuAc.02,happy,happy,pg14
_68rPYEX-A0.02,neutral,neutral,pg
