,emotion 1,emotion 2,rating
0g_aiwRKJqM.04,sad,sad,pg
0o5lmDCKstc.00,angry,neutral,pg
0OMLrBsH_IA.02,happy,happy,y7
1xIaQiPO0DY.00,neutral,neutral,pg
2fch6wJNuxE.02,happy,happy,pg
2wUTFaHkWlk.00,neutral,neutral,pg
2wUTFaHkWlk.01,happy,happy,pg
4uO08Lr5g3k.02,neutral,neutral,pg
4Xp4z5qlyqs.03,happy,angry,pg
6iYlAL8W1Gk.01,neutral,neutral,pg14
7w4TMdCLNMM.01,happy,happy,pg
9aHpZKXC4q8.02,happy,happy,pg
anMWTH1LRZg.02,neutral,neutral,pg14
aqAbmYh7eAM.00,happy,happy,pg
Auyj3CNF5xk.03,neutral,neutral,g
avktSv68q6M.02,neutral,neutral,pg14
bcENL_Vdoqw.01,neutral,neutral,ma
bLYVGIqd2WE.00,happy,happy,pg
bLYVGIqd2WE.02,happy,happy,pg
bOcDaRzT-Vc.02,happy,happy,pg
bTE_EEuVRe0.00,happy,happy,pg
bTE_EEuVRe0.01,happy,happy,pg
bTE_EEuVRe0.02,sad,sad,pg
dnzA9bYc7I8.02,happy,happy,pg
DODLEX4zzLQ.00,neutral,neutral,g
DODLEX4zzLQ.07,neutral,neutral,g
Dtd1lKYQb8M.00,sad,happy,y
dzhmA92F77s.00,neutral,angry,pg
eCoiFAKbL3I.00,happy,happy,pg
eCoiFAKbL3I.02,sad,neutral,pg
ehJdupwHXTk.02,neutral,neutral,pg
exhHtH3HOvI.01,neutral,neutral,g
F5ErMolRE8M.00,neutral,neutral,pg
fDkXHWMNNmc.01,happy,happy,pg
GgHRGgViWfY.01,neutral,neutral,pg14
gI1YHfhC9Jo.01,happy,happy,pg
gqYvBlO2BFo.01,sad,sad,g
GzusWio36p8.01,neutral,neutral,pg
H0mutl4l5hw.00,happy,happy,pg
h3Fxl9GMjZI.00,scared,scared,y7
HE8UAfl83UY.02,scared,angry,pg
Ht0IbFNbfSY.00,happy,angry,pg
HVUlFV3Bs70.01,neutral,neutral,g
JrmxD9UxY0E.01,happy,happy,pg
KHMRej5YjwA.02,neutral,angry,pg14
KlDvzBBxrao.00,happy,happy,pg
KlDvzBBxrao.01,happy,happy,pg
LsGL5MXRVmc.02,neutral,angry,pg14
NEoOJ0uRskY.01,neutral,neutral,pg14
ngFPBz_8SDc.02,happy,happy,pg14
NHTZYPbVQAg.01,neutral,neutral,pg
NzDhm808oU4.00,neutral,neutral,pg14
oGs7JtCfm5U.01,neutral,neutral,y7
OPdbdjctx2I.01,scared,angry,pg
P8m3V8aPzoI.01,angry,happy,pg
pxxPznV38Hk.01,happy,happy,g
QHzXEgy0bdo.01,angry,happy,y
qJVhGXSZO9Y.01,angry,neutral,pg14
QwcjToDEsUY.00,neutral,neutral,pg
rEGUDZZmj4M.00,happy,happy,y7
rjOx3W5GtXg.00,happy,happy,pg
rjOx3W5GtXg.02,happy,happy,pg
Rq1QAEyVK2w.01,neutral,neutral,pg
sB83uyHhIRY.00,happy,happy,pg
sk00epALZps.00,sad,sad,pg
sk00epALZps.01,neutral,neutral,pg
sra_H9o7pjA.01,happy,neutral,y7
sra_H9o7pjA.03,scared,scared,y7
sra_H9o7pjA.04,neutral,neutral,y7
tt0066344.00,scared,scared,y7
tt0465602.01,angry,angry,pg14
tt0493405.00,angry,neutral,pg14
tt1714203.00,scared,scared,pg14
tt1758795.01,happy,happy,pg14
tt1879032.01,angry,happy,pg14
tt1959563.01,angry,angry,pg14
tt1980209.01,neutral,neutral,pg14
tt2101441.01,sad,angry,ma
tt2380564.00,neutral,angry,ma
tt2437712.01,neutral,neutral,ma
tt2557490.01,neutral,neutral,ma
tt2713642.00,scared,scared,ma
tt6521876.00,angry,neutral,pg14
tt7690016.01,angry,angry,pg14
uThDGzLhOXg.00,neutral,angry,ma
v6IyejLa35s.01,angry,angry,pg14
VNM7Z7hir_I.00,neutral,neutral,pg
VNM7Z7hir_I.01,happy,happy,pg14
vpD0k9oebI4.01,neutral,neutral,ma
VVQB_M2f6xM.01,neutral,neutral,pg
vZMd_PSEuRk.05,neutral,neutral,g
wzZPNpL0FqQ.02,scared,scared,g
xHcPhdZBngw.02,angry,angry,pg
xjCElooEE3o.00,happy,happy,pg
XSol1q4zklg.00,angry,angry,pg
XyKegi4c7ig.02,happy,happy,pg
YLuZjpxmsZQ.01,neutral,neutral,pg
YLuZjpxmsZQ.02,angry,neutral,pg14
YT127qw8eQQ.00,angry,angry,pg
YYlPKnlpJ2U.00,angry,angry,ma
